Time      Mean      STD       
0.000     10000.000 0.000     
0.000     9999.999  0.034     
0.000     9999.998  0.068     
0.000     9999.995  0.102     
0.000     9999.991  0.136     
0.000     9999.986  0.170     
0.001     9999.979  0.205     
0.001     9999.972  0.239     
0.001     9999.963  0.274     
0.001     9999.953  0.309     
0.001     9999.942  0.345     
0.001     9999.930  0.380     
0.001     9999.917  0.416     
0.001     9999.902  0.453     
0.001     9999.887  0.490     
0.001     9999.870  0.527     
0.001     9999.852  0.565     
0.002     9999.832  0.603     
0.002     9999.812  0.642     
0.002     9999.790  0.681     
0.002     9999.767  0.721     
0.002     9999.743  0.762     
0.002     9999.717  0.803     
0.002     9999.691  0.845     
0.002     9999.663  0.888     
0.002     9999.634  0.931     
0.002     9999.603  0.975     
0.002     9999.571  1.020     
0.003     9999.538  1.066     
0.003     9999.504  1.113     
0.003     9999.468  1.160     
0.003     9999.431  1.209     
0.003     9999.393  1.258     
0.003     9999.353  1.309     
0.003     9999.312  1.360     
0.003     9999.269  1.412     
0.003     9999.225  1.466     
0.003     9999.180  1.520     
0.003     9999.133  1.576     
0.004     9999.085  1.633     
0.004     9999.035  1.691     
0.004     9998.984  1.750     
0.004     9998.931  1.811     
0.004     9998.877  1.872     
0.004     9998.821  1.935     
0.004     9998.764  2.000     
0.004     9998.705  2.065     
0.004     9998.644  2.132     
0.004     9998.582  2.201     
0.004     9998.518  2.271     
0.005     9998.453  2.342     
0.005     9998.386  2.415     
0.005     9998.317  2.489     
0.005     9998.246  2.565     
0.005     9998.174  2.643     
0.005     9998.099  2.722     
0.005     9998.023  2.803     
0.005     9997.945  2.885     
0.005     9997.866  2.970     
0.005     9997.784  3.056     
0.005     9997.700  3.143     
0.005     9997.615  3.233     
0.006     9997.527  3.324     
0.006     9997.438  3.418     
0.006     9997.346  3.513     
0.006     9997.253  3.610     
0.006     9997.157  3.709     
0.006     9997.059  3.811     
0.006     9996.959  3.914     
0.006     9996.856  4.019     
0.006     9996.752  4.127     
0.006     9996.645  4.237     
0.006     9996.536  4.349     
0.007     9996.424  4.463     
0.007     9996.310  4.580     
0.007     9996.194  4.699     
0.007     9996.075  4.820     
0.007     9995.953  4.944     
0.007     9995.829  5.070     
0.007     9995.703  5.199     
0.007     9995.573  5.331     
0.007     9995.441  5.465     
0.007     9995.307  5.601     
0.007     9995.169  5.741     
0.008     9995.029  5.883     
0.008     9994.886  6.028     
0.008     9994.739  6.176     
0.008     9994.590  6.327     
0.008     9994.438  6.481     
0.008     9994.283  6.638     
0.008     9994.124  6.798     
0.008     9993.962  6.961     
0.008     9993.797  7.128     
0.008     9993.629  7.297     
0.008     9993.457  7.470     
0.009     9993.282  7.647     
0.009     9993.103  7.827     
0.009     9992.921  8.010     
0.009     9992.735  8.197     
0.009     9992.546  8.387     
0.009     9992.353  8.582     
0.009     9992.155  8.780     
0.009     9991.954  8.982     
0.009     9991.749  9.188     
0.009     9991.540  9.397     
0.009     9991.327  9.611     
0.010     9991.110  9.829     
0.010     9990.888  10.052    
0.010     9990.662  10.278    
0.010     9990.432  10.509    
0.010     9990.197  10.745    
0.010     9989.958  10.984    
0.010     9989.714  11.229    
0.010     9989.465  11.478    
0.010     9989.211  11.732    
0.010     9988.952  11.991    
0.010     9988.689  12.255    
0.011     9988.420  12.524    
0.011     9988.146  12.798    
0.011     9987.867  13.077    
0.011     9987.582  13.362    
0.011     9987.292  13.652    
0.011     9986.996  13.948    
0.011     9986.695  14.249    
0.011     9986.388  14.556    
0.011     9986.075  14.869    
0.011     9985.755  15.188    
0.011     9985.430  15.513    
0.012     9985.099  15.844    
0.012     9984.761  16.181    
0.012     9984.416  16.525    
0.012     9984.065  16.876    
0.012     9983.708  17.233    
0.012     9983.343  17.597    
0.012     9982.972  17.967    
0.012     9982.593  18.345    
0.012     9982.207  18.730    
0.012     9981.814  19.122    
0.012     9981.414  19.522    
0.013     9981.005  19.929    
0.013     9980.589  20.344    
0.013     9980.165  20.766    
0.013     9979.733  21.197    
0.013     9979.293  21.636    
0.013     9978.844  22.083    
0.013     9978.387  22.539    
0.013     9977.921  23.003    
0.013     9977.446  23.476    
0.013     9976.963  23.957    
0.013     9976.470  24.448    
0.013     9975.967  24.948    
0.014     9975.456  25.458    
0.014     9974.934  25.977    
0.014     9974.403  26.506    
0.014     9973.861  27.045    
0.014     9973.310  27.594    
0.014     9972.748  28.153    
0.014     9972.175  28.722    
0.014     9971.591  29.303    
0.014     9970.997  29.894    
0.014     9970.391  30.497    
0.014     9969.773  31.110    
0.015     9969.144  31.735    
0.015     9968.504  32.372    
0.015     9967.851  33.021    
0.015     9967.185  33.682    
0.015     9966.508  34.355    
0.015     9965.817  35.041    
0.015     9965.113  35.740    
0.015     9964.396  36.452    
0.015     9963.666  37.177    
0.015     9962.922  37.915    
0.015     9962.164  38.668    
0.016     9961.391  39.434    
0.016     9960.604  40.215    
0.016     9959.803  41.010    
0.016     9958.986  41.820    
0.016     9958.154  42.645    
0.016     9957.306  43.485    
0.016     9956.442  44.341    
0.016     9955.562  45.213    
0.016     9954.666  46.102    
0.016     9953.752  47.006    
0.016     9952.822  47.928    
0.017     9951.874  48.866    
0.017     9950.908  49.822    
0.017     9949.924  50.796    
0.017     9948.922  51.787    
0.017     9947.901  52.798    
0.017     9946.860  53.826    
0.017     9945.801  54.874    
0.017     9944.721  55.941    
0.017     9943.621  57.028    
0.017     9942.501  58.135    
0.017     9941.360  59.262    
0.018     9940.197  60.411    
0.018     9939.013  61.580    
0.018     9937.806  62.771    
0.018     9936.577  63.984    
0.018     9935.325  65.219    
0.018     9934.050  66.477    
0.018     9932.750  67.757    
0.018     9931.427  69.062    
0.018     9930.079  70.390    
0.018     9928.705  71.743    
0.018     9927.306  73.121    
0.019     9925.881  74.524    
0.019     9924.430  75.952    
0.019     9922.951  77.407    
0.019     9921.445  78.888    
0.019     9919.911  80.397    
0.019     9918.348  81.933    
0.019     9916.757  83.496    
0.019     9915.135  85.089    
0.019     9913.484  86.710    
0.019     9911.802  88.361    
0.019     9910.088  90.042    
0.020     9908.343  91.754    
0.020     9906.566  93.497    
0.020     9904.755  95.271    
0.020     9902.911  97.077    
0.020     9901.033  98.916    
0.020     9899.120  100.789   
0.020     9897.172  102.695   
0.020     9895.187  104.636   
0.020     9893.166  106.612   
0.020     9891.108  108.623   
0.020     9889.011  110.671   
0.021     9886.876  112.755   
0.021     9884.701  114.877   
0.021     9882.486  117.038   
0.021     9880.230  119.236   
0.021     9877.933  121.475   
0.021     9875.594  123.753   
0.021     9873.211  126.072   
0.021     9870.785  128.433   
0.021     9868.314  130.836   
0.021     9865.797  133.281   
0.021     9863.234  135.771   
0.022     9860.624  138.304   
0.022     9857.967  140.882   
0.022     9855.260  143.507   
0.022     9852.504  146.177   
0.022     9849.698  148.895   
0.022     9846.840  151.661   
0.022     9843.930  154.476   
0.022     9840.967  157.341   
0.022     9837.949  160.256   
0.022     9834.877  163.222   
0.022     9831.748  166.240   
0.022     9828.563  169.311   
0.023     9825.319  172.436   
0.023     9822.016  175.616   
0.023     9818.654  178.851   
0.023     9815.230  182.142   
0.023     9811.744  185.490   
0.023     9808.194  188.897   
0.023     9804.581  192.363   
0.023     9800.902  195.889   
0.023     9797.156  199.476   
0.023     9793.343  203.124   
0.023     9789.460  206.836   
0.024     9785.508  210.611   
0.024     9781.484  214.451   
0.024     9777.388  218.357   
0.024     9773.218  222.329   
0.024     9768.973  226.370   
0.024     9764.652  230.479   
0.024     9760.253  234.658   
0.024     9755.776  238.907   
0.024     9751.218  243.229   
0.024     9746.579  247.623   
0.024     9741.856  252.092   
0.025     9737.050  256.635   
0.025     9732.157  261.255   
0.025     9727.178  265.952   
0.025     9722.109  270.728   
0.025     9716.951  275.583   
0.025     9711.701  280.518   
0.025     9706.358  285.535   
0.025     9700.921  290.636   
0.025     9695.387  295.820   
0.025     9689.755  301.089   
0.025     9684.024  306.445   
0.026     9678.192  311.888   
0.026     9672.258  317.420   
0.026     9666.219  323.042   
0.026     9660.074  328.755   
0.026     9653.822  334.560   
0.026     9647.460  340.459   
0.026     9640.987  346.452   
0.026     9634.401  352.541   
0.026     9627.700  358.728   
0.026     9620.883  365.012   
0.026     9613.947  371.397   
0.027     9606.892  377.882   
0.027     9599.714  384.469   
0.027     9592.412  391.159   
0.027     9584.984  397.954   
0.027     9577.428  404.854   
0.027     9569.743  411.862   
0.027     9561.925  418.977   
0.027     9553.974  426.202   
0.027     9545.887  433.538   
0.027     9537.661  440.985   
0.027     9529.296  448.546   
0.028     9520.789  456.221   
0.028     9512.137  464.011   
0.028     9503.339  471.919   
0.028     9494.392  479.944   
0.028     9485.295  488.088   
0.028     9476.044  496.353   
0.028     9466.639  504.739   
0.028     9457.075  513.248   
0.028     9447.353  521.881   
0.028     9437.468  530.639   
0.028     9427.419  539.523   
0.029     9417.203  548.534   
0.029     9406.818  557.674   
0.029     9396.262  566.943   
0.029     9385.532  576.343   
0.029     9374.626  585.874   
0.029     9363.541  595.538   
0.029     9352.276  605.336   
0.029     9340.827  615.268   
0.029     9329.192  625.336   
0.029     9317.369  635.541   
0.029     9305.355  645.883   
0.030     9293.147  656.364   
0.030     9280.744  666.984   
0.030     9268.142  677.744   
0.030     9255.340  688.644   
0.030     9242.334  699.687   
0.030     9229.121  710.872   
0.030     9215.701  722.201   
0.030     9202.068  733.673   
0.030     9188.223  745.289   
0.030     9174.160  757.051   
0.030     9159.879  768.958   
0.031     9145.376  781.011   
0.031     9130.649  793.211   
0.031     9115.695  805.558   
0.031     9100.512  818.052   
0.031     9085.097  830.693   
0.031     9069.447  843.483   
0.031     9053.560  856.420   
0.031     9037.433  869.506   
0.031     9021.063  882.740   
0.031     9004.449  896.123   
